taxi_id,datetime,longitude,latitude,trip_id
1,2008-02-02 15:36:08,116.51172,39.92123,1
1,2008-02-02 15:46:08,116.51135,39.93883,1
1,2008-02-02 15:56:08,116.51627,39.91034,1
1,2008-02-02 16:06:08,116.47186,39.91248,1
1,2008-02-02 16:16:08,116.47217,39.92498,1
1,2008-02-02 16:26:08,116.47179,39.90718,1
1,2008-02-02 16:36:08,116.45617,39.90531,1
1,2008-02-02 17:00:24,116.47191,39.90577,1
1,2008-02-02 17:10:24,116.50661,39.9145,1
1,2008-02-02 20:30:34,116.49625,39.9146,2
1,2008-02-02 20:40:33,116.50962,39.91071,2
1,2008-02-02 20:50:33,116.52231,39.91588,2
1,2008-02-02 21:00:33,116.56444,39.91445,2
1,2008-02-02 21:10:33,116.59512,39.90798,2
1,2008-02-02 21:30:33,116.65522,39.8622,2
1,2008-02-02 21:40:33,116.69164,39.85165,2
1,2008-02-02 21:50:33,116.69167,39.85166,2
1,2008-02-02 22:10:32,116.69168,39.85168,2
1,2008-02-02 22:20:32,116.69168,39.85167,2
1,2008-02-02 22:30:32,116.69167,39.85169,2
1,2008-02-02 22:40:33,116.69167,39.85172,2
1,2008-02-02 22:50:33,116.69167,39.85174,2
1,2008-02-02 23:00:32,116.69167,39.85175,2
1,2008-02-02 23:10:32,116.69167,39.85176,2
1,2008-02-02 23:20:32,116.69172,39.85208,2
1,2008-02-02 23:30:32,116.69172,39.85199,2
1,2008-02-02 23:40:32,116.69171,39.85196,2
1,2008-02-02 23:50:32,116.69171,39.85182,2
1,2008-02-03 00:00:32,116.69171,39.85184,2
1,2008-02-03 00:10:32,116.6917,39.85184,2
1,2008-02-03 00:20:32,116.6917,39.85184,2
1,2008-02-03 00:30:32,116.69168,39.85146,2
1,2008-02-03 00:40:32,116.69172,39.85165,2
1,2008-02-03 00:50:32,116.69176,39.85165,2
1,2008-02-03 01:00:32,116.69168,39.85163,2
1,2008-02-03 01:10:32,116.69166,39.85159,2
1,2008-02-03 01:40:31,116.69164,39.85186,2
1,2008-02-03 01:50:31,116.69167,39.85196,2
1,2008-02-03 02:00:32,116.69167,39.85167,2
1,2008-02-03 02:21:26,116.69176,39.85183,2
1,2008-02-03 02:30:31,116.69173,39.85174,2
1,2008-02-03 02:50:32,116.69172,39.85179,2
1,2008-02-03 03:00:32,116.69171,39.85176,2
1,2008-02-03 03:10:31,116.6917,39.85176,2
1,2008-02-03 03:20:31,116.69164,39.85165,2
1,2008-02-03 03:30:31,116.69155,39.85181,2
1,2008-02-03 03:40:31,116.69158,39.8518,2
1,2008-02-03 03:50:31,116.69156,39.85141,2
1,2008-02-03 04:00:31,116.69161,39.85155,2
1,2008-02-03 04:10:31,116.69156,39.85161,2
1,2008-02-03 04:20:31,116.6916,39.85156,2
1,2008-02-03 04:30:31,116.6918,39.85176,2
1,2008-02-03 04:40:31,116.69179,39.85177,2
1,2008-02-03 04:50:31,116.69176,39.85176,2
1,2008-02-03 05:00:31,116.69177,39.85175,2
1,2008-02-03 05:10:30,116.69157,39.85211,2
1,2008-02-03 05:20:30,116.69162,39.85157,2
1,2008-02-03 05:30:30,116.69162,39.85158,2
1,2008-02-03 05:40:30,116.69161,39.8516,2
1,2008-02-03 05:50:31,116.69138,39.85178,2
1,2008-02-03 06:00:31,116.69156,39.85166,2
1,2008-02-03 06:10:30,116.69129,39.85191,2
1,2008-02-03 06:20:30,116.69172,39.85176,2
1,2008-02-03 06:40:30,116.69165,39.85173,2
1,2008-02-03 06:50:30,116.69169,39.85142,2
1,2008-02-03 07:00:30,116.69164,39.85158,2
1,2008-02-03 07:10:30,116.69162,39.85163,2
1,2008-02-03 07:20:30,116.69161,39.85166,2
1,2008-02-03 07:40:30,116.69184,39.85188,2
1,2008-02-03 07:50:30,116.69165,39.85161,2
1,2008-02-03 08:10:29,116.6917,39.85163,2
1,2008-02-03 08:30:29,116.69171,39.85166,2
1,2008-02-03 08:40:29,116.69169,39.85168,2
1,2008-02-03 08:50:30,116.69169,39.85165,2
1,2008-02-03 09:00:30,116.69169,39.85163,2
1,2008-02-03 09:10:29,116.69169,39.85161,2
1,2008-02-03 09:20:29,116.69172,39.85106,2
1,2008-02-03 09:30:29,116.6917,39.85133,2
1,2008-02-03 09:40:29,116.69171,39.85165,2
1,2008-02-03 09:50:30,116.69165,39.85179,2
1,2008-02-03 10:00:29,116.69167,39.85173,2
1,2008-02-03 10:10:29,116.69156,39.8517,2
1,2008-02-03 10:20:29,116.69157,39.85171,2
1,2008-02-03 10:30:29,116.69285,39.85167,2
1,2008-02-03 10:40:29,116.65945,39.88563,2
1,2008-02-03 10:50:29,116.6174,39.9057,2
1,2008-02-03 11:00:29,116.57833,39.91297,2
1,2008-02-03 11:10:29,116.54256,39.91501,2
1,2008-02-03 11:20:28,116.51629,39.90905,2
1,2008-02-03 11:30:29,116.49705,39.90693,2
1,2008-02-03 11:40:29,116.43653,39.90566,2
1,2008-02-03 11:50:29,116.45075,39.87495,2
1,2008-02-03 12:00:29,116.45551,39.88319,2
1,2008-02-03 18:35:14,116.58425,39.91108,3
1,2008-02-03 18:45:14,116.62556,39.90534,3
1,2008-02-03 18:55:14,116.63713,39.90953,3
1,2008-02-03 19:05:14,116.65749,39.88708,3
1,2008-02-03 19:15:14,116.69302,39.8516,3
1,2008-02-03 19:25:14,116.69149,39.85161,3
1,2008-02-03 19:35:14,116.6915,39.85161,3
1,2008-02-03 19:45:14,116.69152,39.85162,3
1,2008-02-03 19:55:14,116.69154,39.85162,3
1,2008-02-03 20:05:14,116.69155,39.85164,3
