39.94408,116.54525,2/7/2008 11:19
39.94408,116.54525,2/7/2008 11:24
39.94527,116.54471,2/7/2008 11:29
39.94032,116.53826,2/7/2008 11:34
39.93377,116.51117,2/7/2008 11:39
39.93586,116.51138,2/7/2008 11:41
39.93933,116.48808,2/7/2008 11:46
39.97441,116.45677,2/7/2008 11:51
39.99126,116.40144,2/7/2008 11:56
39.99298,116.41002,2/7/2008 12:01
39.98716,116.41451,2/7/2008 12:06
39.98733,116.4186,2/7/2008 12:08
39.96549,116.47014,2/7/2008 12:13
39.91508,116.48335,2/7/2008 12:18
39.91471,116.49779,2/7/2008 12:23
39.9243,116.51134,2/7/2008 12:28
39.93356,116.5091,2/7/2008 12:32
39.93928,116.48572,2/7/2008 12:37
39.97614,116.45406,2/7/2008 12:42
39.98422,116.40122,2/7/2008 12:47
39.98704,116.41258,2/7/2008 12:52
39.96499,116.47088,2/7/2008 12:57
39.92123,116.48332,2/7/2008 13:02
39.92409,116.51487,2/7/2008 13:07
39.93765,116.5271,2/7/2008 13:12
39.94312,116.54332,2/7/2008 13:17
39.94396,116.54524,2/7/2008 13:19
